pais,capital,moneda,poblacion,area_km2
Taiwán,Taipéi,Nuevo dólar de Taiwán,23816775,36197
Tanzania,Dodoma,Chelín tanzano,59734218,945087
Tayikistán,Dusambé,Somoni,9537642,143100
Togo,Lomé,Franco CFA,8278724,56785
Tonga,Nukuʻalofa,Paʻanga,105697,747
Túnez,Túnez,Dinar tunecino,11818619,163610
Turkmenistán,Asjabad,Manat turcomano,6031187,488100
Turquía,Ankara,Lira turca,84339067,783562
Tuvalu,Funafuti,Dólar tuvaluano,11792,26
Ucrania,Kiev,Grivna,41723998,603500
Uganda,Kampala,Chelín ugandés,45741000,241038
Uruguay,Montevideo,Peso uruguayo,3473727,181034
Uzbekistán,Taskent,Som uzbeko,34232050,447400
Vanuatu,Port Vila,Vatu,307150,12189
